Loan Application Number,Loan Amount,Loan Duration,Interest Rate,EMI,Borrower Rating by Bank,Borrower's Duration of Employment,Home Ownership of Borrower,Annual Income of Borrower,Borrower's Verification Status,Loan Issue Date,Purpose of Loan,State,Debt-to-Income Ratio (A ratio calculated based on Borrower's monthly debt repayments to self-reported monthly income),Borrower Delinquency in Last Two Years,Date of Borrower's First  Loan,Number of Months Since the Borrower's Last Delinquency,The Number of Months Since the Borrower's Credit Record  was Updated,Number of Times the Borrower has Availed Loan from the Bank,Number of Negative Comments About the Borrower in Credit History,Total Credit Revolving Balance,Percentage of Credit the Borrower is Using Relative to All Available Revolving Credit,Number of Times the Borrower has Availed Loan from All Banks,Late Fees Received To Date,Last Month Payment was Received,Last Amount Received as Payment,Loan Status
30735,384943,60 months,14.34%,9024.887301,CB,10 years and above,Under Mortgage,1069552,Verified,06-12-2011,Pay Credit Card Bill,Madhya Pradesh,17.68257419,0,18-06-1984,,,12,0,650622,0.802735352,40,0,01-03-2015,169653.7073,???
30736,38366,39 months,7.87%,1118.135929,AD,2 years,Rental,854009,Not Verified,30-11-2011,Marriage,Uttar Pradesh,15.73539527,0,12-06-2000,,,7,0,14963,0.87990566,22,0,01-12-2014,1153.555929,???
30737,132184,47 months,8.82%,3336.426911,AE,7 years,Under Mortgage,336646,Not Verified,21-11-2009,Others,Uttarakhand,12.85275311,0,10-04-1998,,,9,0,25814,0.046810311,16,0,01-09-2013,3668.076911,???
30738,134816,38 months,10.92%,4212.280657,BD,4 years,Rental,387241,Verified,02-03-2011,Pay-off Other Loans,Bihar,23.20923991,1,07-12-2000,25,,12,0,109151,0.437479978,13,0,01-04-2014,4566.590657,???
30739,22019,38 months,8.49%,662.8669834,AE,2 years,Rental,385714,Not Verified,27-08-2011,Others,Uttar Pradesh,1.134307608,0,29-07-2007,,,4,0,10190,0.340185768,6,0,01-09-2014,817.1969834,???
30740,274971,37 months,14.66%,9281.346392,DA,6 years,Under Mortgage,3739393,Not Verified,18-04-2010,Pay Credit Card Bill,Bihar,7.167464142,0,13-09-1977,,,14,0,1758593,0.596654514,32,0,01-03-2013,9489.026392,???
30741,22112,39 months,13.61%,704.7435457,CA,10 years and above,Under Mortgage,763920,Source Verified,26-12-2011,Home Renovation,Uttarakhand,24.39364623,0,03-02-1997,,,11,0,27327,0.227727887,25,0,01-02-2015,788.5635457,???
30742,384981,43 months,14.15%,11464.75734,CC,4 years,Under Mortgage,804203,Verified,12-09-2011,Start Business,Dadra and Nagar Haveli,18.82852249,0,14-05-2003,,,11,0,254322,0.414655126,33,638.0333274,01-06-2014,143855.3673,???
30743,134593,52 months,13.91%,3460.66867,CC,3 years,Under Mortgage,490881,Verified,12-09-2010,Marriage,Madhya Pradesh,15.11139382,0,25-03-2004,,,8,0,0,0,10,0,01-10-2012,20538.05867,???
30744,164971,45 months,7.15%,4190.614536,AC,3 years,Under Mortgage,997103,Verified,25-08-2011,Medical,Manipur,3.616219862,0,13-04-1994,,,12,0,36117,0.046674543,30,0,01-10-2014,34340.29454,???
30745,131837,43 months,8.06%,3540.320759,AD,Less than 1 year,Under Mortgage,678191,Source Verified,31-01-2012,Pay-off Other Loans,Jammu and Kashmir,8.440685769,0,27-09-2002,,,12,0,199982,0.581880794,13,0,01-12-2014,31755.10076,???
30746,158331,53 months,14.18%,4036.620081,CC,8 years,Own,2472567,Source Verified,12-06-2011,Others,Jammu and Kashmir,7.467207456,2,16-07-1993,17,,8,0,35191,0.353418599,74,0,01-05-2011,149150.1601,???
30747,30651,38 months,15.96%,1032.710006,DE,1 year,Under Mortgage,256883,Not Verified,27-06-2010,Pay-off Other Loans,Rajasthan,4.643916901,1,20-10-1999,16,,2,0,44452,0.991260447,9,160.797737,01-06-2013,1214.320006,???
30748,164892,42 months,9.50%,4630.516093,AE,Less than 1 year,Under Mortgage,1100687,Verified,03-05-2009,Start Business,Uttar Pradesh,5.158014125,0,25-04-1983,,,18,0,233548,0.33009341,27,0,01-10-2012,4896.936093,???
30749,32816,48 months,15.95%,929.1707598,DD,Not available,Rental,547758,Source Verified,28-07-2010,Relocation,Punjab,10.84826154,0,24-07-2004,,,3,0,25425,0.945019674,5,0,01-05-2014,1055.12076,???
30750,83764,60 months,16.64%,2065.605584,DB,5 years,Own,552866,Source Verified,07-01-2012,Start Business,Chandigarh,6.723383833,0,02-09-1996,67,82,12,1,94726,0.396878249,29,0,01-09-2015,2065.605584,???
30751,82653,55 months,20.44%,2326.861218,FB,8 years,Rental,373207,Not Verified,05-06-2011,Others,Jammu and Kashmir,8.137628483,5,31-08-1994,10,108,3,1,7592,0.560732934,34,148.8196811,01-03-2012,2377.021218,???
30752,43914,40 months,6.84%,1230.954273,AB,Less than 1 year,Rental,293403,Not Verified,02-08-2010,Agriculture,Uttar Pradesh,10.58451756,0,21-02-1986,,,8,0,163,0.005081281,8,0,01-07-2011,35097.31427,???
30753,85853,37 months,14.58%,2894.648069,DB,7 years,Under Mortgage,416636,Not Verified,31-07-2009,Home Renovation,Meghalaya,9.12677069,0,09-12-2000,,,10,0,102202,0.546121277,14,0,01-06-2012,3281.188069,???
30754,131899,43 months,11.24%,3740.872573,BE,8 years,Rental,589008,Not Verified,04-05-2010,Pay-off Other Loans,Tripura,8.229375303,0,14-05-1991,,,5,0,111861,0.758048549,28,0,01-01-2011,129555.6826,???
30755,165065,43 months,16.27%,5091.154136,EC,10 years and above,Rental,782933,Verified,04-03-2009,Start Business,Goa,17.14877557,0,18-11-1987,,,16,0,353530,0.862894415,20,277.1617304,01-10-2014,660,???
30756,184882,60 months,20.25%,4924.481353,EE,9 years,Under Mortgage,1389963,Verified,14-11-2011,Home Renovation,Andhra Pradesh,14.19608709,0,10-12-1993,,,7,0,48238,0.852137378,13,0,01-09-2015,4924.481353,???
30757,274940,40 months,10.85%,8222.323122,BD,2 years,Rental,1107307,Verified,05-05-2010,Pay-off Other Loans,Uttar Pradesh,13.50136271,0,15-03-1981,,,11,0,571551,0.675268782,35,0,01-03-2012,414.04,???
30758,44179,48 months,13.98%,1206.837174,CC,1 year,Rental,339105,Not Verified,08-07-2011,Pay Credit Card Bill,Madhya Pradesh,14.53707714,0,14-05-2008,,,9,0,44072,0.456587609,8,0,01-02-2014,9782.877174,???
30759,54946,44 months,7.41%,1429.89004,AD,3 years,Rental,461243,Source Verified,05-05-2011,Agriculture,Tamil Nadu,7.430266466,0,10-03-2003,,,11,0,59798,0.614616697,21,0,01-11-2014,1596.10004,???
30760,105428,41 months,8.97%,2995.018811,AE,3 years,Rental,612801,Not Verified,12-01-2012,Pay Credit Card Bill,Uttarakhand,17.39436564,0,20-08-2000,,,10,0,195730,0.669208436,14,0,01-04-2015,3111.288811,???
30761,132128,38 months,7.86%,3939.134012,AD,4 years,Rental,841633,Verified,28-01-2012,Start Business,Uttar Pradesh,1.183412134,0,29-04-2008,,,5,0,14368,0.132768893,11,0,01-09-2012,92164.63401,???
30762,109882,41 months,15.06%,3445.01641,DD,5 years,Rental,518080,Not Verified,03-05-2009,Agriculture,Nagaland,20.29787886,0,26-01-1997,,,4,0,0,,31,0,01-11-2011,35841.66641,???
30763,118802,38 months,8.07%,3553.354814,AC,10 years and above,Under Mortgage,1137634,Not Verified,29-05-2009,Purchase Car,Karnataka,15.78853515,0,21-09-1986,,,17,0,2047603,0.17042308,32,0,01-05-2012,3753.664814,???
30764,55096,37 months,10.66%,1753.776843,BB,4 years,Rental,290099,Not Verified,18-11-2011,Start Business,West Bengal,24.94895922,0,07-07-1996,33,,5,0,24171,0.434217362,30,0,01-04-2013,32971.44684,???
30765,165168,46 months,12.57%,4543.372732,BE,5 years,Rental,877128,Not Verified,20-01-2012,Pay Credit Card Bill,Bihar,6.849599528,0,26-09-2006,,,7,0,110068,0.712477825,14,0,01-09-2015,4842.682732,???
30766,85779,48 months,7.98%,2093.317388,AE,Less than 1 year,Under Mortgage,724908,Verified,22-08-2010,Home Renovation,Tamil Nadu,18.9059046,0,24-03-1998,76,,12,0,54269,0.360906589,43,0,01-06-2014,2218.057388,???
30767,13072,39 months,12.40%,408.9429091,BD,9 years,Rental,317833,Not Verified,30-12-2011,Others,West Bengal,19.21685342,0,28-06-2005,65,114,7,1,137750,0.686792926,6,0,01-02-2015,444.1429091,???
30768,55063,38 months,6.98%,1619.25608,AE,9 years,Rental,595854,Verified,27-01-2011,Others,Goa,2.791049133,0,25-10-1997,,,5,0,51443,0.230687109,17,0,01-04-2012,11678.31608,???
30769,308041,52 months,16.85%,8386.955172,EB,3 years,Under Mortgage,1372748,Verified,12-04-2011,Start Business,Assam,7.632350813,0,01-11-1992,,,6,0,0,0,32,0,01-12-2010,299443.9852,???
30770,26305,42 months,14.62%,803.8297704,CD,4 years,Rental,203372,Source Verified,10-08-2011,Pay-off Other Loans,Assam,3.061620927,0,14-04-2004,45,,9,0,2716,0.573040688,25,0,01-07-2013,14758.20977,???
30771,76854,39 months,10.60%,2338.244112,BB,1 year,Rental,998486,Source Verified,29-12-2011,Others,Uttar Pradesh,7.731321396,1,15-06-1995,17,,4,0,35619,0.72408925,23,0,01-12-2012,4469.714112,???
30772,220125,59 months,15.46%,5349.85209,DE,9 years,Rental,761207,Source Verified,05-02-2011,Pay-off Other Loans,Tamil Nadu,19.48666882,0,03-09-1994,58,,7,0,274524,0.587192484,35,0,01-09-2012,163719.1621,???
30773,74897,47 months,12.92%,2038.856525,CA,5 years,Rental,437401,Not Verified,18-06-2011,Pay-off Other Loans,Madhya Pradesh,21.57084272,0,11-03-2005,,,7,0,46594,0.885195578,15,0,01-03-2015,2142.916525,???
30774,110017,56 months,14.33%,2705.441824,DB,10 years and above,Under Mortgage,1536027,Verified,15-01-2011,Pay-off Other Loans,Karnataka,22.64476687,0,10-02-1985,,,11,0,1074959,0.948126657,27,0,01-06-2012,2705.441824,???
30775,131803,42 months,11.85%,3848.907964,BC,9 years,Rental,602532,Source Verified,03-12-2011,Pay-off Other Loans,Jharkhand,7.565952798,0,12-01-2000,,,9,0,140855,0.654863427,15,0,01-05-2015,3968.257964,???
30776,43889,60 months,7.40%,877.3170984,AD,10 years and above,Under Mortgage,559811,Not Verified,10-05-2011,Medical,Maharashtra,11.21006034,0,11-05-1993,,,15,0,133563,0.106260299,43,0,01-09-2015,877.3170984,???
30777,25116,46 months,7.42%,629.029638,AC,Less than 1 year,Under Mortgage,865868,Source Verified,13-01-2012,Others,Gujarat,9.879999231,0,09-07-1993,,,20,0,166539,0.266188837,42,0,01-09-2013,629.029638,???
30778,115627,52 months,13.83%,2968.19934,CE,5 years,Under Mortgage,957580,Source Verified,01-02-2011,Purchase Car,Uttar Pradesh,10.10225586,0,19-04-2000,29,,6,0,73743,0.949999845,12,0,01-06-2012,78151.54934,???
30779,114466,47 months,7.62%,2824.369431,AE,4 years,Rental,389365,Not Verified,09-02-2011,Pay-off Other Loans,Uttarakhand,9.583522146,0,25-11-1984,43,,10,0,112103,0.296338518,29,0,01-11-2014,3265.689431,???
30780,35289,39 months,7.65%,1024.814753,AD,2 years,Rental,1210204,Not Verified,11-06-2011,Purchase Car,Bihar,6.882860964,0,19-02-2002,,,5,0,187987,0.764637902,17,0,01-02-2013,19699.40475,???
30781,186987,36 months,15.08%,6489.070398,DB,10 years and above,Rental,668391,Not Verified,06-05-2010,Pay-off Other Loans,Haryana,14.24474233,0,27-04-2000,,,8,0,228625,0.749079519,16,0,01-04-2013,6933.470398,???
30782,241903,59 months,18.96%,6333.424287,FD,4 years,Rental,537508,Verified,29-11-2010,Pay-off Other Loans,Andhra Pradesh,13.23684176,0,10-02-2004,61,,6,0,149404,0.677218972,12,0,01-03-2013,405.8542865,???
30783,41037,44 months,6.71%,1054.771157,AD,Less than 1 year,Rental,362494,Not Verified,14-02-2011,Pay-off Other Loans,Andhra Pradesh,14.93787699,0,29-07-1992,76,,15,0,163065,0.442164538,33,0,01-02-2013,22621.15116,???
30784,98935,37 months,15.74%,3392.276201,DC,10 years and above,Rental,654491,Verified,28-09-2010,Pay-off Other Loans,Bihar,14.90322818,0,05-09-1993,33,,12,0,349166,0.687416789,18,0,01-09-2013,3652.206201,???
30785,65976,46 months,16.27%,1937.009583,EA,1 year,Rental,270453,Source Verified,02-05-2011,Relocation,Bihar,7.585035865,1,09-03-2008,6,,3,0,19573,0.813306884,8,158.6810917,01-12-2013,31569.13958,???
30786,118362,44 months,12.51%,3367.993724,CA,10 years and above,Rental,331495.2,Not Verified,14-02-2011,Agriculture,Rajasthan,22.20134272,0,24-09-1993,,60,9,2,128451,0.260778526,19,0,01-04-2013,3367.993724,???
30787,63267,44 months,7.28%,1642.63094,AD,9 years,Rental,939082,Not Verified,12-05-2011,Pay Credit Card Bill,Uttar Pradesh,16.98798019,0,26-02-1996,,,13,0,321777,0.637305193,25,0,01-12-2014,1844.15094,???
30788,200623,58 months,12.72%,4647.906055,CA,6 years,Under Mortgage,766240,Source Verified,09-05-2011,Others,Maharashtra,24.06261395,0,31-01-1998,73,,7,0,77781,0.250588616,27,0,01-01-2013,140182.4261,???
30789,71510,40 months,6.22%,1983.965087,AA,9 years,Under Mortgage,605991,Not Verified,10-11-2011,Pay-off Other Loans,West Bengal,22.72408851,0,19-03-1995,,,7,0,180764,0.358530558,20,172,01-01-2015,4392.635087,???
30790,219955,40 months,15.03%,7024.055754,EC,Less than 1 year,Rental,823449,Not Verified,20-04-2008,Pay-off Other Loans,Bihar,14.77608864,0,07-06-1996,40,,10,0,322571,0.608413491,17,0,01-01-2009,196846.3258,???
30791,220158,38 months,11.69%,6959.999234,BC,1 year,Rental,829281,Verified,14-07-2011,Others,Uttarakhand,14.46672202,0,04-04-2001,45,,9,0,124298,0.480300433,27,0,01-07-2013,24553.83923,???
30792,54801,55 months,15.20%,1389.455058,DB,8 years,Rental,895116,Verified,28-08-2010,Buy House,Uttar Pradesh,10.22668451,0,19-07-2001,,115,11,1,55400,0.717064914,15,0,01-08-2012,2704.065058,???
30793,220027,36 months,11.63%,7269.210755,BD,2 years,Rental,982553,Not Verified,05-11-2010,Pay-off Other Loans,Himachal Pradesh,7.683866684,0,15-06-1999,,,7,0,0,0,14,0,01-10-2012,47071.28075,???
30794,55064,46 months,7.54%,1381.99214,AB,1 year,Under Mortgage,1234596,Verified,06-03-2009,Pay Credit Card Bill,Uttar Pradesh,1.103571927,0,16-12-2000,,,7,0,47685,0.158710134,13,0,01-06-2010,48109.88214,???
30795,132044,44 months,10.43%,3624.504361,BA,Less than 1 year,Rental,823367,Not Verified,22-10-2010,Pay Credit Card Bill,Punjab,22.70171643,0,12-01-1998,38,,12,0,210697,0.411142666,36,0,01-03-2014,1361.694361,???
30796,164891,41 months,5.84%,4445.960134,CD,5 years,Under Mortgage,695145,Not Verified,04-03-2008,Pay-off Other Loans,Andhra Pradesh,15.01339233,0,23-09-1995,0,0,18,0,286808,0.361457808,39,0,01-06-2011,4515.920134,???
30797,88160,42 months,10.09%,2500.190375,BD,2 years,Own,284131,Source Verified,13-12-2010,Others,Manipur,15.80443236,0,07-09-1998,,,5,0,120106,0.954452395,10,0,01-09-2013,24580.82037,???
30798,43858,47 months,6.50%,1059.431672,AB,Not available,Under Mortgage,490202,Not Verified,27-11-2011,Start Business,Uttar Pradesh,1.420211231,0,01-10-1973,,,6,0,29942,0.165762795,10,0,01-09-2015,1122.571672,???
30799,126313,60 months,12.07%,2814.026508,BE,10 years and above,Own,878324,Verified,31-08-2011,Start Business,Andhra Pradesh,27.77981434,0,26-02-1984,,,25,0,489729,0.447888427,34,0,01-09-2015,2814.026508,???
30800,88065,41 months,7.60%,2445.454321,AD,6 years,Rental,276889,Source Verified,09-11-2010,Others,Assam,22.22462619,0,16-01-2004,32,,9,0,36417,0.112560903,10,0,01-02-2014,2809.554321,???
30801,60481,48 months,8.20%,1482.13829,AC,4 years,Own,361742,Not Verified,29-05-2009,Pay-off Other Loans,Assam,19.52789838,0,22-05-1999,,,6,0,76042,0.304544804,14,0,01-02-2013,3539.13829,???
30802,230808,60 months,14.31%,5408.114303,CB,Less than 1 year,Under Mortgage,983185,Verified,23-01-2012,Pay Credit Card Bill,West Bengal,8.287957962,2,19-10-2000,17,,8,0,87798,0.82195382,35,0,01-09-2014,125810.3743,???
30803,27414,38 months,7.16%,808.4286595,AC,3 years,Rental,298447,Verified,17-09-2011,Purchase Car,Maharashtra,5.997204629,0,10-08-2003,,,6,0,6370,0.444468716,9,0,01-03-2012,11332.67866,???
30804,140638,59 months,16.62%,3504.395345,EA,4 years,Rental,414200.2,Verified,19-07-2010,Pay Credit Card Bill,Uttar Pradesh,20.38824836,0,19-06-1993,35,,11,0,109410,0.793528218,24,0,01-07-2014,1534.515345,???
30805,65946,46 months,14.73%,1884.723051,CC,4 years,Rental,332899,Not Verified,02-12-2011,Pay-off Other Loans,Odisha,15.23624639,0,11-07-1996,,,12,0,27595,0.2120782,17,174.8884459,01-10-2015,65.23,???
30806,274939,38 months,19.10%,9698.917417,FC,3 years,Rental,1042091,Not Verified,04-03-2010,Pay-off Other Loans,Uttar Pradesh,16.04036531,0,13-01-1995,,,4,0,373345,1.005902809,4,0,01-03-2013,10185.44742,???
30807,55057,45 months,8.48%,1432.712522,AD,3 years,Under Mortgage,443731,Not Verified,23-09-2009,Agriculture,Gujarat,6.618029891,0,19-05-2001,,,8,0,98710,0.760474524,9,0,01-04-2013,1459.222522,???
30808,164911,60 months,13.33%,3779.924313,CB,10 years and above,Rental,987481,Source Verified,26-07-2011,Pay-off Other Loans,Assam,13.40685423,0,27-07-1988,40,,12,0,33015,0.119944764,33,0,01-09-2015,3779.924313,???
30809,110092,45 months,11.80%,3039.63776,BC,8 years,Rental,657296,Not Verified,04-01-2012,Pay-off Other Loans,Uttar Pradesh,21.88394876,0,21-12-2001,,,10,0,62217,0.27674363,24,0,01-03-2014,87.45775956,???
30810,26587,47 months,8.60%,668.3062342,AE,2 years,Under Mortgage,752892,Not Verified,24-07-2011,Pay-off Other Loans,Kerala,21.76748969,0,02-09-1983,,,18,0,171096,0.326298653,49,0,01-01-2015,3306.216234,???
30811,71414,48 months,13.61%,1937.508345,DB,Less than 1 year,Under Mortgage,1650256,Verified,15-11-2008,Pay Credit Card Bill,Uttar Pradesh,14.30823392,0,21-05-1991,,,19,0,970861,0.881960163,33,0,01-12-2011,1937.508345,???
30812,67807,41 months,11.60%,2011.056412,BD,10 years and above,Under Mortgage,794555,Not Verified,15-08-2011,Home Renovation,Uttarakhand,19.17504094,0,24-03-1994,53,,15,0,327298,0.636928026,40,0,01-11-2014,2175.946412,???
30813,54901,45 months,10.76%,1488.03237,BC,5 years,Rental,603713,Not Verified,06-04-2010,Education,Karnataka,14.98604326,0,29-04-2003,,,10,0,200231,0.510766986,19,0,01-12-2013,1611.34237,???
30814,16437,46 months,16.19%,481.9135047,DB,Less than 1 year,Rental,416895,Not Verified,17-08-2011,Pay-off Other Loans,Kerala,1.696993707,0,12-08-2008,,,3,0,10494,0.75353953,2,0,01-09-2014,3858.143505,???
30815,147249,60 months,13.10%,3357.881562,CA,8 years,Rental,558778,Source Verified,24-09-2010,Pay-off Other Loans,Madhya Pradesh,24.70507046,0,04-03-2000,,,7,0,141085,0.917591866,16,0,01-01-2015,23119.71156,???
30816,275055,60 months,13.06%,6267.45333,CC,3 years,Under Mortgage,931263,Verified,04-02-2011,Medical,Bihar,16.62949748,0,17-10-2000,,,11,0,1004099,0.262751062,20,0,01-09-2015,6267.45333,???
30817,164887,45 months,12.70%,4624.911612,CB,6 years,Under Mortgage,781129,Not Verified,09-03-2009,Education,Manipur,11.12517322,0,07-01-1996,,,19,0,302561,0.735243429,40,0,01-12-2009,162036.6716,???
30818,92276,40 months,17.01%,3038.405122,DD,Less than 1 year,Rental,570615,Verified,31-07-2011,Pay Credit Card Bill,Rajasthan,5.920378369,0,20-12-2007,,,4,0,66528,0.889950995,4,0,01-11-2013,36742.84512,???
30819,109858,47 months,14.90%,3099.65454,DD,10 years and above,Under Mortgage,492622,Verified,04-08-2009,Pay-off Other Loans,Tripura,12.10340679,0,28-12-1998,,,11,0,324134,0.814962424,15,173.2723668,01-01-2012,3099.65454,???
30820,76858,46 months,11.63%,2078.692768,BD,3 years,Rental,687100,Not Verified,22-10-2011,Pay Credit Card Bill,Meghalaya,12.88775063,0,24-03-2002,,,9,0,61673,0.708420401,16,0,01-11-2013,46093.76277,???
30821,57395,43 months,5.39%,1470.705775,AA,2 years,Rental,328884,Not Verified,20-09-2011,Agriculture,Goa,5.105263964,0,25-06-2006,,,11,0,2667,0.004781101,19,0,01-02-2015,1592.805775,???
30822,110000,39 months,18.02%,3746.857759,GC,10 years and above,Under Mortgage,871661,Verified,02-05-2008,Pay-off Other Loans,Maharashtra,29.91416741,3,19-05-1985,8,,20,0,284313,0.768195186,29,0,01-06-2011,3996.337759,???
30823,164990,37 months,6.91%,4963.857005,AE,4 years,Rental,683420,Source Verified,19-02-2011,Pay-off Other Loans,Odisha,11.48937596,0,19-07-2002,,,5,0,114000,0.62562963,9,0,01-01-2014,5029.307005,???
30824,32816,47 months,7.69%,810.7866906,AD,10 years and above,Rental,500143,Not Verified,28-07-2011,Others,Bihar,23.73157811,0,07-04-1997,,,16,0,203988,0.35230016,28,0,01-06-2013,161.04,???
30825,18642,46 months,9.85%,488.2324345,BA,2 years,Rental,209577,Not Verified,17-08-2011,Pay-off Other Loans,Uttar Pradesh,4.254535838,0,27-04-2006,51,,8,0,17769,0.183813603,6,0,01-01-2013,15045.63243,???
30826,32902,41 months,10.32%,955.6753035,BA,1 year,Under Mortgage,660088,Not Verified,26-08-2010,Pay Credit Card Bill,Karnataka,11.8161825,0,28-04-1998,,,16,0,115722,0.213815266,23,0,01-06-2011,23410.9653,???
30827,52848,37 months,9.79%,1660.446137,AE,Less than 1 year,Rental,300260,Not Verified,07-08-2009,Others,Odisha,7.890998583,0,14-12-2003,,,7,0,69690,0.538761141,14,0,01-09-2011,520.076137,???
30828,53713,60 months,7.64%,1079.990887,AE,7 years,Rental,378345,Not Verified,14-06-2011,Pay Credit Card Bill,West Bengal,29.666993,0,05-04-1997,,,5,0,75336,0.296539703,19,0,01-09-2015,1079.990887,???
30829,132187,40 months,8.97%,3835.783437,AE,4 years,Rental,613594,Not Verified,22-01-2010,Pay-off Other Loans,Odisha,10.55398269,0,19-11-1999,,,10,0,49284,0.135481256,17,0,01-03-2013,4139.053437,???
30830,219971,59 months,13.51%,5123.246088,CB,1 year,Rental,999829,Verified,08-10-2010,Pay-off Other Loans,Uttar Pradesh,7.340257637,0,14-12-1997,,,10,0,263565,0.451483156,14,0,01-08-2012,5123.246088,???
30831,76955,45 months,9.90%,2053.98567,BA,5 years,Rental,685161,Not Verified,30-12-2011,Pay Credit Card Bill,Punjab,5.348518591,0,15-05-1986,50,,7,0,41487,0.583541481,37,0,01-11-2012,36196.55567,???
30832,13327,37 months,13.46%,442.0763835,CA,4 years,Under Mortgage,669922,Not Verified,27-01-2012,Home Renovation,Andhra Pradesh,22.81789162,0,25-02-2001,45,,10,0,120332,0.955943519,19,0,01-01-2012,13346.28638,???
30833,27482,48 months,18.03%,807.6933214,FD,1 year,Rental,610425,Not Verified,10-07-2009,Start Business,Bihar,11.96725046,0,18-02-2003,,,12,0,213382,0.785555707,26,0,01-07-2010,27733.49332,???
30834,54924,36 months,14.68%,1895.40105,DA,Less than 1 year,Rental,438663,Verified,30-10-2010,Pay-off Other Loans,West Bengal,9.051007287,0,03-01-2007,,,4,0,15749,0.66905414,1,0,01-08-2013,2046.54105,???
30835,21886,41 months,10.27%,635.1843437,BA,Less than 1 year,Rental,254379,Source Verified,20-09-2010,Others,West Bengal,6.185753858,1,18-06-1994,21,,8,0,82188,0.895405945,14,0,01-01-2014,663.1243437,???
30836,219911,44 months,6.88%,5668.82236,AC,10 years and above,Under Mortgage,662317,Source Verified,01-10-2011,Pay Credit Card Bill,Himachal Pradesh,8.384978883,0,23-10-1996,,,10,0,34457,0.385139749,27,0,01-12-2014,32478.46236,???
30837,104311,40 months,14.63%,3310.632855,DC,2 years,Rental,516427,Verified,08-03-2009,Pay Credit Card Bill,West Bengal,19.3260654,0,10-03-1990,,,13,0,313755,0.660869754,50,0,01-05-2012,3450.552855,???
30838,164938,43 months,13.67%,4872.688096,CA,5 years,Rental,1095949,Source Verified,17-12-2011,Pay-off Other Loans,Uttar Pradesh,15.55328887,0,16-10-1996,,,7,0,268899,0.963763522,20,0,01-09-2014,47815.2581,???
30839,131924,59 months,14.68%,3152.307477,CC,7 years,Rental,689454,Verified,11-12-2011,Pay-off Other Loans,Bihar,23.29584298,0,22-08-2004,,,12,0,147326,0.67887918,31,0,01-09-2013,17834.77748,???
30840,105785,43 months,10.13%,2943.789304,BB,2 years,Rental,826165,Source Verified,06-03-2011,Pay-off Other Loans,Kerala,4.052544349,0,05-07-2003,,,5,0,105936,0.753701591,16,0,01-04-2014,24451.9793,???
30841,275077,47 months,11.61%,7311.047632,BC,3 years,Rental,784610,Verified,16-06-2009,Marriage,Bihar,5.841931177,0,22-03-2000,,,12,0,97156,0.273592672,23,0,01-04-2011,7311.047632,???
30842,109909,45 months,14.18%,3163.093364,DA,4 years,Rental,488737,Not Verified,02-02-2009,Pay-off Other Loans,Rajasthan,14.83156819,0,21-12-1984,,,17,0,120278,0.583560499,37,0,01-09-2012,3301.363364,???
30843,241853,36 months,7.53%,7526.304477,AD,10 years and above,Own,552084,Source Verified,30-06-2011,Pay-off Other Loans,Uttar Pradesh,23.85849289,0,04-01-1981,,,9,0,195563,0.536046225,21,0,01-04-2014,8092.804477,???
30844,66199,36 months,14.69%,2284.71875,DC,10 years and above,Rental,405359,Not Verified,23-04-2009,Start Business,Tamil Nadu,14.06257971,0,24-02-2002,,,13,0,226174,0.943145069,28,0,01-10-2009,2284.71875,???
30845,105739,43 months,12.43%,3059.850515,CB,Less than 1 year,Rental,776050,Not Verified,25-12-2010,Pay-off Other Loans,Assam,19.74549612,0,27-09-1998,,,5,0,220865,0.862242464,13,0,01-05-2014,3403.930515,???
30846,203975,56 months,17.17%,5319.158779,DC,4 years,Under Mortgage,590503,Verified,12-12-2011,Start Business,Andaman and Nicobar Islands,17.57608417,0,03-08-1995,70,,8,0,54870,0.603458012,9,0,01-07-2012,5319.158779,???
30847,126307,39 months,14.19%,4061.348521,CE,3 years,Rental,345660,Not Verified,11-05-2010,Pay-off Other Loans,Uttar Pradesh,22.92694867,0,25-10-2002,,,9,0,189887,0.928526556,16,0,01-04-2013,17194.68852,???
30848,54856,42 months,6.76%,1470.260206,AB,4 years,Rental,273867,Source Verified,04-11-2011,Agriculture,Uttarakhand,16.27573702,0,24-03-2002,,,9,0,51009,0.219182743,18,0,01-08-2014,13186.47021,???
30849,92280,38 months,12.60%,2957.655336,CA,Not available,Under Mortgage,735402,Not Verified,20-04-2010,Pay Credit Card Bill,West Bengal,23.09095587,0,01-04-1993,47,107,20,1,230367,0.668900565,43,0,01-03-2011,2957.655336,???
30850,44175,46 months,5.79%,1073.047506,AB,2 years,Rental,459698,Source Verified,22-12-2010,Pay-off Other Loans,Uttarakhand,19.9808877,0,04-01-2002,,,13,0,54873,0.080940181,14,0,01-05-2014,5244.797506,???
30851,109912,44 months,12.60%,3132.305731,BD,1 year,Rental,656208,Source Verified,10-01-2012,Pay-off Other Loans,Uttar Pradesh,17.66532047,0,11-05-2002,40,,13,0,135474,0.72881885,27,0,01-01-2013,97546.29573,???
30852,50508,48 months,7.82%,1228.746311,AE,7 years,Under Mortgage,867823,Source Verified,07-04-2011,Pay-off Other Loans,Haryana,9.186366952,0,08-04-1999,34,,9,0,142286,0.656008825,28,0,01-07-2012,13533.34631,???
